status;manual;tipo;numero;ano;titulo;url_detalhe;url_pdf;id_dr;old_hash;new_hash
novo;nao;Portaria;1/1;2026;Portaria n.º 1/2026/1  -  Diário da República n.º 1/2026, Série I de 2026-01-02;https://diariodarepublica.pt/dr/detalhe/portaria/1-993605128;;993605128;;524e07155a8d976870e8daa27fcab4f02d57389f9986c53f6bf9dc4757e0b039
novo;nao;Declaração;1/1;2026;Declaração n.º 1/2026/1  -  Diário da República n.º 1/2026, Série I de 2026-01-02;https://diariodarepublica.pt/dr/detalhe/declaracao/1-993605127;;993605127;;3f8afcfd41b408c747f94bae716c1d0981116041ae840eaedf8c3d374b285510
novo;nao;Decreto Regulamentar Regional;1/M;2026;Decreto Regulamentar Regional n.º 1/2026/M  -  Diário da República n.º 1/2026, Série I de 2026-01-02;https://diariodarepublica.pt/dr/detalhe/decreto-regulamentar-regional/1-993605130;;993605130;;ada69a085aeb88d4bbcce5a5a99ac2a315688fb6fefcd600353815a5fec5c5ac
novo;nao;Decreto do Presidente da República;1;2026;Decreto do Presidente da República n.º 1/2026  -  Diário da República n.º 1/2026, Série I de 2026-01-02;https://diariodarepublica.pt/dr/detalhe/decreto-presidente-republica/1-2026-993605126;;993605126;;6cf53de57b7ed15b1a6c8907fd114fb5c12bf8055b287b05d361d3495969b679
novo;nao;Acórdão do Tribunal Constitucional;1134;2025;Acórdão do Tribunal Constitucional n.º 1134/2025  -  Diário da República n.º 1/2026, Série I de 2026-01-02;https://diariodarepublica.pt/dr/detalhe/acordao-tribunal-constitucional/1134-2025-993605129;;993605129;;ba1a2b7925014c044963a98f8073be75eca1d7309f4dfaf641dba433abbdd410
