status;manual;tipo;numero;ano;titulo;url_detalhe;url_pdf;id_dr;old_hash;new_hash
atualizado;nao;Portaria;1/2026/1;2026;Portaria n.º 1/2026/1  -  Diário da República n.º 1/2026, Série I de 2026-01-02;https://diariodarepublica.pt/dr/detalhe/portaria/1-993605128;;993605128;02535266a8eabc02f392b091b0f04fb9d9af8c2a9b8d65aed9bd4d7c2b218197;eb4967f74f36e67c3dc0d330e489a701a684660626ed53d389ce9e075e5d0753
atualizado;nao;Declaração;1/2026/1;2026;Declaração n.º 1/2026/1  -  Diário da República n.º 1/2026, Série I de 2026-01-02;https://diariodarepublica.pt/dr/detalhe/declaracao/1-993605127;;993605127;ce129ceed7bf4a77339df92a32f2100123baf619c054c053f144f3f92d19b270;1c83561421b332e6a64e7b86c651b7386b36d5c321bae78c99c8a12ed268fc7e
atualizado;nao;Decreto Regulamentar Regional;1/2026/M;2026;Decreto Regulamentar Regional n.º 1/2026/M  -  Diário da República n.º 1/2026, Série I de 2026-01-02;https://diariodarepublica.pt/dr/detalhe/decreto-regulamentar-regional/1-993605130;;993605130;97d191c97486ba3295adb6eac270185aa89dd5263affe39d896908386e08925b;382f1dcfd40bbbb3cf9f73920a05b5276b215b635f636ffd78bd71c66121c673
atualizado;nao;Decreto do Presidente da República;1/2026;2026;Decreto do Presidente da República n.º 1/2026  -  Diário da República n.º 1/2026, Série I de 2026-01-02;https://diariodarepublica.pt/dr/detalhe/decreto-presidente-republica/1-2026-993605126;;993605126;6cf53de57b7ed15b1a6c8907fd114fb5c12bf8055b287b05d361d3495969b679;a7b43101b81e5feae53a3466a2f43e37f1994c7d1ccdc7adf289c035fd761d8d
atualizado;nao;Acórdão do Tribunal Constitucional;1134/2025;2025;Acórdão do Tribunal Constitucional n.º 1134/2025  -  Diário da República n.º 1/2026, Série I de 2026-01-02;https://diariodarepublica.pt/dr/detalhe/acordao-tribunal-constitucional/1134-2025-993605129;;993605129;ba1a2b7925014c044963a98f8073be75eca1d7309f4dfaf641dba433abbdd410;2f4aa2a955f61d4bff1a917ac83d180196154abc2fb68da4bebf0bc30a3df2a0
